No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
0,0,0,0,-10.42067,-19.7406,-36.03742,42.43052
1,1,0,0,-8.63513,-18.70003,-38.15137,43.39616
2,2,0,0,-7.13209,-18.56897,-40.38223,45.04087
3,3,0,0,-7.54743,-16.06655,-42.07374,45.68851
4,4,0,0,-6.27095,-13.82306,-41.65448,44.34759
5,5,0,0,-5.88206,-16.27482,-37.65605,41.49494
6,6,0,0,-4.21633,-16.83852,-34.79613,38.89988
7,7,0,0,-8.39516,-15.90853,-35.83072,40.10545
8,8,0,0,-9.28491,-13.93996,-37.52692,41.10868
9,10,0,0,-7.58762,-11.69883,-35.17966,37.86017
10,11,0,0,-8.87608,-7.35036,-37.45174,39.2008
11,12,0,0,-4.89809,-12.68087,-39.91974,42.19397
12,13,0,0,-3.04,-17.55662,-41.09851,44.80888
13,14,0,0,-4.96571,-24.46288,-38.78427,46.13813
14,15,0,0,-4.79849,-21.65203,-37.63487,43.69778
15,16,0,0,-4.85893,-19.53775,-34.17688,39.68017
16,17,0,0,-6.06423,-16.99945,-34.54979,38.996
17,18,0,0,-5.85319,-18.6737,-35.99664,40.9858
18,19,0,0,-5.87109,-18.52593,-38.13153,42.81301
19,20,0,0,-6.89845,-19.91899,-36.45186,42.12288
20,21,0,0,-9.92313,-20.51263,-35.18341,41.93277
21,22,0,0,-9.67496,-17.07546,-34.24327,39.48206
22,23,0,0,-8.70378,-18.20747,-35.2113,40.59778
23,24,0,0,-8.95232,-18.52055,-36.58854,41.99539
24,25,0,0,-9.04866,-20.78652,-34.80568,41.55756
25,26,0,0,-9.00951,-21.53003,-34.82869,41.94001
26,27,0,0,-9.87329292929293,-20.7698585858586,-35.1041111111111,41.9813131313131
27,27,1,0,-25.20785,12.08242,-39.91917,48.74822
28,27,2,0,-24.94739,16.0383,-38.99278,49.00161
29,27,3,0,-24.84201,14.56429,-38.75937,48.30152
30,27,4,0,-21.88597,14.59514,-40.72832,48.49976
31,27,5,0,-21.67409,11.63038,-39.23742,46.32325
32,27,6,0,-21.53808,12.49518,-39.01344,46.29896
33,27,7,0,-20.0194,16.39255,-39.50165,47.23869
34,27,8,0,-20.07475,12.93922,-41.62815,48.00715
35,27,9,0,-21.53839,15.68277,-98.41751,101.98024
36,28,0,0,-9.88664,-16.14084,-35.94352,40.64038
37,29,0,0,-11.68224,-16.30095,-33.8021,39.31865
38,30,0,0,-10.41053,-14.39778,-33.90295,38.29155
39,31,0,0,-9.35903,-13.46238,-34.67957,38.37995
40,32,0,0,-10.25981,-14.42425,-36.31853,40.41506
41,33,0,0,-11.92691,-16.12169,-36.04086,41.25758
42,34,0,0,-11.60233,-17.13092,-36.16522,41.67917
43,35,0,0,-12.64914,-17.68757,-35.88098,41.96985
44,36,0,0,-10.61395,-16.91526,-38.04016,42.97692
45,37,0,0,-11.64902,-14.15909,-38.85556,42.98191
46,38,0,0,-11.1114,-14.08345,-37.15321,41.27148
47,39,0,0,-11.8208,-13.79175,-36.10825,40.43627
48,40,0,0,-8.31926,-13.68833,-35.75864,39.19848
49,41,0,0,-8.81978,-13.89722,-34.10997,37.88733
50,42,0,0,-9.19088,-15.41066,-32.38176,37.03937
51,43,0,0,-10.16373,-18.00267,-30.73227,37.05839
52,44,0,0,-11.35959,-18.89895,-28.46352,36.02794
53,45,0,0,-10.62737,-15.51077,-30.25644,35.63692
54,46,0,0,-9.30321,-14.2758,-31.05849,35.44203
55,47,0,0,-6.97843,-15.12453,-30.19182,34.49802
56,48,0,0,-7.77274,-16.02419,-30.38967,35.24314
57,49,0,0,-10.46375,-17.96134,-33.2828,39.25665
58,50,0,0,-10.32912,-22.46373,-35.45801,43.24441
59,51,0,0,-12.11981,-24.14768,-34.8184,44.08506
60,51,1,0,-23.88634,8.43962,-39.62521,47.04613
61,51,2,0,-22.20526,6.9376,-40.57655,46.78888
62,51,3,0,-21.08449,8.28303,-39.44471,45.4976
63,51,4,0,-20.35425,5.13459,-39.86849,45.0716
64,51,5,0,-24.16523,7.85034,-40.21515,47.5883
65,51,6,0,-28.17726,4.84615,-39.9307,49.12615
66,51,7,0,-27.8258,9.227,-40.13889,49.72053
67,51,8,0,-23.73919,9.22269,-40.58985,47.92888
68,51,9,0,-22.50799,12.30588,-45.8499,52.5474
69,51,10,0,-17.88624,16.0576,-46.48473,52.34421
70,51,11,0,-15.19039,10.18128,-45.38072,48.94274
71,51,12,0,-12.52615,10.36283,-43.86232,46.78979
72,51,13,0,-11.70443,8.68337,-42.76173,45.19219
73,51,14,0,-11.36845,10.93044,-39.65943,42.69745
74,51,15,0,-12.86542,10.98891,-36.97094,40.67095
