No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
1,0,0,0,-10.42067,-19.7406,-36.03742,42.43052
2,1,0,0,-8.63513,-18.70003,-38.15137,43.39616
3,2,0,0,-7.13209,-18.56897,-40.38223,45.04087
4,3,0,0,-7.54743,-16.06655,-42.07374,45.68851
5,4,0,0,-6.27095,-13.82306,-41.65448,44.34759
6,5,0,0,-5.88206,-16.27482,-37.65605,41.49494
7,6,0,0,-4.21633,-16.83852,-34.79613,38.89988
8,7,0,0,-8.39516,-15.90853,-35.83072,40.10545
9,8,0,0,-9.28491,-13.93996,-37.52692,41.10868
10,10,0,0,-7.58762,-11.69883,-35.17966,37.86017
11,11,0,0,-8.87608,-7.35036,-37.45174,39.2008
12,12,0,0,-4.89809,-12.68087,-39.91974,42.19397
13,13,0,0,-3.04,-17.55662,-41.09851,44.80888
14,14,0,0,-4.96571,-24.46288,-38.78427,46.13813
15,15,0,0,-4.79849,-21.65203,-37.63487,43.69778
16,16,0,0,-4.85893,-19.53775,-34.17688,39.68017
17,17,0,0,-6.06423,-16.99945,-34.54979,38.996
18,18,0,0,-5.85319,-18.6737,-35.99664,40.9858
19,19,0,0,-5.87109,-18.52593,-38.13153,42.81301
20,20,0,0,-6.89845,-19.91899,-36.45186,42.12288
21,21,0,0,-9.92313,-20.51263,-35.18341,41.93277
22,22,0,0,-9.67496,-17.07546,-34.24327,39.48206
23,23,0,0,-8.70378,-18.20747,-35.2113,40.59778
24,24,0,0,-8.95232,-18.52055,-36.58854,41.99539
25,25,0,0,-9.04866,-20.78652,-34.80568,41.55756
26,26,0,0,-9.00951,-21.53003,-34.82869,41.94001
27,27,0,0,-9.87329,-20.76985,-35.10411,41.98131
28,28,0,0,-9.88664,-16.14084,-35.94352,40.64038
29,29,0,0,-11.68224,-16.30095,-33.8021,39.31865
30,30,0,0,-10.41053,-14.39778,-33.90295,38.29155
31,31,0,0,-9.35903,-13.46238,-34.67957,38.37995
32,32,0,0,-10.25981,-14.42425,-36.31853,40.41506
33,33,0,0,-11.92691,-16.12169,-36.04086,41.25758
34,34,0,0,-11.60233,-17.13092,-36.16522,41.67917
35,35,0,0,-12.64914,-17.68757,-35.88098,41.96985
36,36,0,0,-10.61395,-16.91526,-38.04016,42.97692
37,37,0,0,-11.64902,-14.15909,-38.85556,42.98191
38,38,0,0,-11.1114,-14.08345,-37.15321,41.27148
39,39,0,0,-11.8208,-13.79175,-36.10825,40.43627
40,40,0,0,-8.31926,-13.68833,-35.75864,39.19848
41,41,0,0,-8.81978,-13.89722,-34.10997,37.88733
42,42,0,0,-9.19088,-15.41066,-32.38176,37.03937
43,43,0,0,-10.16373,-18.00267,-30.73227,37.05839
44,44,0,0,-11.35959,-18.89895,-28.46352,36.02794
45,45,0,0,-10.62737,-15.51077,-30.25644,35.63692
46,46,0,0,-9.30321,-14.2758,-31.05849,35.44203
47,47,0,0,-6.97843,-15.12453,-30.19182,34.49802
48,48,0,0,-7.77274,-16.02419,-30.38967,35.24314
49,49,0,0,-10.46375,-17.96134,-33.2828,39.25665
50,50,0,0,-10.32912,-22.46373,-35.45801,43.24441
51,51,0,0,-12.11981,-24.14768,-34.8184,44.08506
