x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot,
0,0,0,0,-24.24,-23.1,-27.84,43.546
1,0,0,0,-23.7,-22.92,-27.96,43.229
2,0,0,0,-23.28,-22.98,-27.66,42.838
3,0,0,0,-22.92,-23.22,-27.72,42.812
4,0,0,0,-23.34,-23.52,-27.84,43.278
5,0,0,0,-23.46,-23.7,-27.72,43.364
6,0,0,0,-23.82,-23.82,-27.84,43.702
7,0,0,0,-24,-23.7,-27.84,43.735
8,0,0,0,-23.94,-23.4,-27.66,43.425
9,0,0,0,-24.24,-23.16,-27.48,43.349
10,0,0,0,-24.24,-22.92,-27.66,43.336
11,0,0,0,-24.36,-23.28,-27.78,43.67
12,0,0,0,-24.36,-23.58,-27.9,43.907
13,0,0,0,-24.24,-24.06,-28.2,44.291
14,0,0,0,-24,-24,-28.32,44.204
15,0,0,0,-24.12,-23.52,-28.26,43.973
16,0,0,0,-24.12,-23.22,-28.26,43.813
17,0,0,0,-23.94,-22.92,-28.02,43.4
18,0,0,0,-24.18,-23.16,-27.78,43.506
19,0,0,0,-23.76,-23.4,-27.6,43.288
20,0,0,0,-23.94,-23.22,-27.6,43.29
21,0,0,0,-24.54,-23.28,-27.3,43.468
22,0,0,0,-24.66,-23.1,-27.48,43.553
23,0,0,0,-24.96,-23.1,-27.72,43.875
24,0,0,0,-24.6,-23.34,-28.02,43.989
25,0,0,0,-23.7,-23.4,-28.62,43.913
26,0,0,0,-23.28,-23.4,-28.38,43.531
27,0,0,0,-22.74,-23.1,-28.44,43.123
28,0,0,0,-22.62,-23.58,-28.5,43.358
29,0,0,0,-23.04,-24,-28.14,43.574
30,0,0,0,-23.04,-24.24,-28.26,43.784
31,0,0,0,-23.52,-24.42,-28.32,44.176
32,0,0,0,-23.7,-24.18,-28.14,44.025
33,0,0,0,-23.94,-23.88,-28.26,44.068
34,0,0,0,-23.94,-23.76,-28.2,43.965
35,0,0,0,-24,-23.88,-27.96,43.909
36,0,0,0,-23.94,-24.06,-27.96,43.975
37,0,0,0,-23.94,-23.82,-27.66,43.653
38,0,0,0,-24.18,-23.88,-27.48,43.704
39,0,0,0,-23.82,-23.58,-27.78,43.533
40,0,0,0,-23.94,-23.1,-27.96,43.457
41,0,0,0,-23.94,-23.34,-28.62,44.011
42,0,0,0,-23.94,-23.22,-28.8,44.065
43,0,0,0,-23.94,-23.4,-28.26,43.81
44,0,0,0,-23.88,-23.76,-28.08,43.855
45,0,0,0,-23.46,-23.46,-28.02,43.427
46,0,0,0,-23.58,-23.58,-28.2,43.672
47,0,0,0,-23.76,-23.4,-28.62,43.945
48,0,0,0,-24.18,-23.34,-28.8,44.259
49,0,0,0,-24.6,-23.58,-28.62,44.5
50,0,0,0,-24.36,-23.76,-28.62,44.464
51,0,0,0,-23.94,-23.58,-28.62,44.139
52,0,0,0,-23.4,-23.34,-28.62,43.72
53,0,0,0,-23.22,-23.04,-28.62,43.464
54,0,0,0,-23.4,-22.92,-28.92,43.695
55,0,0,0,-23.76,-23.04,-28.74,43.833
56,0,0,0,-23.82,-23.4,-28.38,43.822
57,0,0,0,-23.64,-23.58,-28.56,43.938
58,0,0,0,-23.52,-23.82,-28.14,43.731
59,0,0,0,-23.82,-23.82,-27.84,43.702
60,0,0,0,-24.18,-23.58,-27.84,43.769
61,0,0,0,-24.18,-23.76,-27.42,43.601
62,0,0,0,-24.42,-23.46,-27.54,43.648
63,0,0,0,-24.18,-23.58,-27.96,43.846
64,0,0,0,-24,-23.76,-28.02,43.882
65,0,0,0,-24.3,-23.64,-28.26,44.136
66,0,0,0,-24.18,-23.76,-28.02,43.981
67,0,0,0,-24.24,-23.76,-27.72,43.824
68,0,0,0,-23.88,-23.52,-27.54,43.381
69,0,0,0,-23.82,-23.46,-27.36,43.201
70,0,0,0,-23.88,-23.7,-27.66,43.555
71,0,0,0,-23.88,-23.7,-27.3,43.327
72,0,0,0,-24.12,-24,-27.72,43.888
73,0,0,0,-24.12,-23.82,-27.84,43.866
74,0,0,0,-24,-23.52,-27.84,43.638
75,0,0,0,-24.18,-23.52,-28.5,44.16
76,0,0,0,-24.24,-23.1,-28.5,43.971
77,0,0,0,-24.18,-22.92,-28.68,43.961
78,0,0,0,-24.18,-22.74,-28.44,43.711
79,0,0,0,-24.12,-23.04,-28.26,43.718
80,0,0,0,-24.18,-23.28,-28.14,43.801
81,0,0,0,-24.18,-23.34,-27.84,43.641
82,0,0,0,-24.12,-23.64,-28.32,44.075
83,0,0,0,-23.88,-23.28,-28.62,43.947
84,0,0,0,-23.76,-23.28,-28.2,43.609
85,0,0,0,-23.76,-23.4,-28.74,44.024
86,0,0,0,-24.06,-23.28,-28.26,43.812
87,0,0,0,-24.36,-23.28,-27.96,43.785
88,0,0,0,-24.24,-23.34,-28.08,43.827
89,0,0,0,-24.24,-23.58,-27.72,43.726
90,0,0,0,-24.36,-23.88,-27.78,43.993
91,0,0,0,-24.06,-24.06,-27.66,43.85
92,0,0,0,-24.42,-24,-27.72,44.054
93,0,0,0,-24.54,-23.7,-27.72,43.958
94,0,0,0,-24.12,-23.58,-27.78,43.698
95,0,0,0,-24.18,-23.64,-27.9,43.84
96,0,0,0,-24.24,-23.34,-28.14,43.866
97,0,0,0,-24.18,-23.58,-27.96,43.846
98,0,0,0,-24.36,-23.4,-28.02,43.887
99,0,0,0,-23.94,-23.46,-28.02,43.688
100,1,0,0,-22.02,-27.9,-27.72,45.074
101,1,0,0,-22.2,-27.78,-27.72,45.088
102,1,0,0,-21.96,-27.96,-27.9,45.193
103,1,0,0,-21.9,-27.84,-27.72,44.979
104,1,0,0,-21.96,-27.66,-27.84,44.971
