avg_M_x,avg_M_y,avg_M_z,x,y,No,Source ID,Selected
-24.24,-23.1,-27.84,0.0,0.0,0.0,Final_BDD_Polytech_SM-G955F,No
-23.34,-23.52,-27.84,0.0,0.0,4.0,Final_BDD_Polytech_SM-G955F,No
-23.46,-23.7,-27.72,0.0,0.0,5.0,Final_BDD_Polytech_SM-G955F,No
-23.82,-23.82,-27.84,0.0,0.0,6.0,Final_BDD_Polytech_SM-G955F,No
-24.0,-23.7,-27.84,0.0,0.0,7.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.4,-27.66,0.0,0.0,8.0,Final_BDD_Polytech_SM-G955F,No
-24.36,-23.28,-27.78,0.0,0.0,11.0,Final_BDD_Polytech_SM-G955F,No
-24.36,-23.58,-27.9,0.0,0.0,12.0,Final_BDD_Polytech_SM-G955F,No
-24.0,-24.0,-28.32,0.0,0.0,14.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.52,-28.26,0.0,0.0,15.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.22,-28.26,0.0,0.0,16.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-22.92,-28.02,0.0,0.0,17.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.16,-27.78,0.0,0.0,18.0,Final_BDD_Polytech_SM-G955F,No
-23.76,-23.4,-27.6,0.0,0.0,19.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.22,-27.6,0.0,0.0,20.0,Final_BDD_Polytech_SM-G955F,No
-24.6,-23.34,-28.02,0.0,0.0,24.0,Final_BDD_Polytech_SM-G955F,No
-23.7,-23.4,-28.62,0.0,0.0,25.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.88,-28.26,0.0,0.0,33.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.76,-28.2,0.0,0.0,34.0,Final_BDD_Polytech_SM-G955F,No
-24.0,-23.88,-27.96,0.0,0.0,35.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.82,-27.66,0.0,0.0,37.0,Final_BDD_Polytech_SM-G955F,No
-23.82,-23.58,-27.78,0.0,0.0,39.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.1,-27.96,0.0,0.0,40.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.34,-28.62,0.0,0.0,41.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.4,-28.26,0.0,0.0,43.0,Final_BDD_Polytech_SM-G955F,No
-23.88,-23.76,-28.08,0.0,0.0,44.0,Final_BDD_Polytech_SM-G955F,No
-23.46,-23.46,-28.02,0.0,0.0,45.0,Final_BDD_Polytech_SM-G955F,No
-23.58,-23.58,-28.2,0.0,0.0,46.0,Final_BDD_Polytech_SM-G955F,No
-23.76,-23.4,-28.62,0.0,0.0,47.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.58,-28.62,0.0,0.0,51.0,Final_BDD_Polytech_SM-G955F,No
-23.82,-23.4,-28.38,0.0,0.0,56.0,Final_BDD_Polytech_SM-G955F,No
-23.64,-23.58,-28.56,0.0,0.0,57.0,Final_BDD_Polytech_SM-G955F,No
-23.52,-23.82,-28.14,0.0,0.0,58.0,Final_BDD_Polytech_SM-G955F,No
-23.82,-23.82,-27.84,0.0,0.0,59.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.58,-27.84,0.0,0.0,60.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.58,-27.96,0.0,0.0,63.0,Final_BDD_Polytech_SM-G955F,No
-24.0,-23.76,-28.02,0.0,0.0,64.0,Final_BDD_Polytech_SM-G955F,No
-24.3,-23.64,-28.26,0.0,0.0,65.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.76,-28.02,0.0,0.0,66.0,Final_BDD_Polytech_SM-G955F,No
-24.24,-23.76,-27.72,0.0,0.0,67.0,Final_BDD_Polytech_SM-G955F,No
-23.88,-23.52,-27.54,0.0,0.0,68.0,Final_BDD_Polytech_SM-G955F,No
-23.88,-23.7,-27.66,0.0,0.0,70.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.82,-27.84,0.0,0.0,73.0,Final_BDD_Polytech_SM-G955F,No
-24.0,-23.52,-27.84,0.0,0.0,74.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.52,-28.5,0.0,0.0,75.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.04,-28.26,0.0,0.0,79.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.28,-28.14,0.0,0.0,80.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.34,-27.84,0.0,0.0,81.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.64,-28.32,0.0,0.0,82.0,Final_BDD_Polytech_SM-G955F,No
-23.88,-23.28,-28.62,0.0,0.0,83.0,Final_BDD_Polytech_SM-G955F,No
-23.76,-23.28,-28.2,0.0,0.0,84.0,Final_BDD_Polytech_SM-G955F,No
-24.06,-23.28,-28.26,0.0,0.0,86.0,Final_BDD_Polytech_SM-G955F,No
-24.36,-23.28,-27.96,0.0,0.0,87.0,Final_BDD_Polytech_SM-G955F,No
-24.24,-23.34,-28.08,0.0,0.0,88.0,Final_BDD_Polytech_SM-G955F,No
-24.24,-23.58,-27.72,0.0,0.0,89.0,Final_BDD_Polytech_SM-G955F,No
-24.12,-23.58,-27.78,0.0,0.0,94.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.64,-27.9,0.0,0.0,95.0,Final_BDD_Polytech_SM-G955F,No
-24.24,-23.34,-28.14,0.0,0.0,96.0,Final_BDD_Polytech_SM-G955F,No
-24.18,-23.58,-27.96,0.0,0.0,97.0,Final_BDD_Polytech_SM-G955F,No
-24.36,-23.4,-28.02,0.0,0.0,98.0,Final_BDD_Polytech_SM-G955F,No
-23.94,-23.46,-28.02,0.0,0.0,99.0,Final_BDD_Polytech_SM-G955F,No
-22.2,-27.78,-27.72,1.0,0.0,101.0,Final_BDD_Polytech_SM-G955F,No
-21.96,-27.66,-27.84,1.0,0.0,104.0,Final_BDD_Polytech_SM-G955F,No
-21.72,-27.0,-28.02,1.0,0.0,110.0,Final_BDD_Polytech_SM-G955F,No
-21.9,-27.84,-28.02,1.0,0.0,115.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-27.3,-27.6,1.0,0.0,121.0,Final_BDD_Polytech_SM-G955F,No
-21.96,-27.36,-27.6,1.0,0.0,122.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-27.42,-28.14,1.0,0.0,124.0,Final_BDD_Polytech_SM-G955F,No
-22.08,-27.12,-28.32,1.0,0.0,125.0,Final_BDD_Polytech_SM-G955F,No
-21.72,-26.76,-28.14,1.0,0.0,126.0,Final_BDD_Polytech_SM-G955F,No
-21.66,-26.46,-27.84,1.0,0.0,127.0,Final_BDD_Polytech_SM-G955F,No
-21.72,-26.7,-27.66,1.0,0.0,129.0,Final_BDD_Polytech_SM-G955F,No
-22.2,-27.0,-27.96,1.0,0.0,130.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-27.24,-28.14,1.0,0.0,131.0,Final_BDD_Polytech_SM-G955F,No
-22.56,-26.88,-28.32,1.0,0.0,132.0,Final_BDD_Polytech_SM-G955F,No
-22.26,-27.12,-28.08,1.0,0.0,133.0,Final_BDD_Polytech_SM-G955F,No
-22.44,-26.4,-28.26,1.0,0.0,134.0,Final_BDD_Polytech_SM-G955F,No
-22.44,-26.1,-28.38,1.0,0.0,135.0,Final_BDD_Polytech_SM-G955F,No
-22.38,-25.86,-28.32,1.0,0.0,136.0,Final_BDD_Polytech_SM-G955F,No
-22.68,-25.92,-28.68,1.0,0.0,137.0,Final_BDD_Polytech_SM-G955F,No
-22.38,-26.04,-28.74,1.0,0.0,138.0,Final_BDD_Polytech_SM-G955F,No
-22.26,-26.1,-29.04,1.0,0.0,139.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-25.8,-29.28,1.0,0.0,140.0,Final_BDD_Polytech_SM-G955F,No
-21.78,-25.26,-29.4,1.0,0.0,141.0,Final_BDD_Polytech_SM-G955F,No
-21.72,-25.02,-29.4,1.0,0.0,142.0,Final_BDD_Polytech_SM-G955F,No
-21.66,-24.9,-29.4,1.0,0.0,143.0,Final_BDD_Polytech_SM-G955F,No
-21.84,-24.78,-29.7,1.0,0.0,145.0,Final_BDD_Polytech_SM-G955F,No
-22.08,-24.48,-29.52,1.0,0.0,146.0,Final_BDD_Polytech_SM-G955F,No
-22.62,-24.3,-29.4,1.0,0.0,147.0,Final_BDD_Polytech_SM-G955F,No
-22.32,-24.36,-29.22,1.0,0.0,148.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-23.76,-29.76,1.0,0.0,149.0,Final_BDD_Polytech_SM-G955F,No
-22.32,-23.94,-29.94,1.0,0.0,150.0,Final_BDD_Polytech_SM-G955F,No
-22.14,-23.46,-30.0,1.0,0.0,151.0,Final_BDD_Polytech_SM-G955F,No
-22.56,-22.98,-29.58,1.0,0.0,152.0,Final_BDD_Polytech_SM-G955F,No
-22.56,-23.46,-28.92,1.0,0.0,153.0,Final_BDD_Polytech_SM-G955F,No
-22.62,-23.52,-28.92,1.0,0.0,154.0,Final_BDD_Polytech_SM-G955F,No
-22.68,-23.7,-28.98,1.0,0.0,155.0,Final_BDD_Polytech_SM-G955F,No
-22.74,-23.82,-29.52,1.0,0.0,156.0,Final_BDD_Polytech_SM-G955F,No
-22.92,-23.52,-29.76,1.0,0.0,160.0,Final_BDD_Polytech_SM-G955F,No
-22.74,-23.52,-29.88,1.0,0.0,161.0,Final_BDD_Polytech_SM-G955F,No
-22.92,-23.22,-29.46,1.0,0.0,162.0,Final_BDD_Polytech_SM-G955F,No
-22.5,-23.64,-30.06,1.0,0.0,172.0,Final_BDD_Polytech_SM-G955F,No
-22.68,-23.88,-29.76,1.0,0.0,173.0,Final_BDD_Polytech_SM-G955F,No
-22.86,-24.18,-29.82,1.0,0.0,174.0,Final_BDD_Polytech_SM-G955F,No
-22.5,-23.94,-29.94,1.0,0.0,181.0,Final_BDD_Polytech_SM-G955F,No
-22.26,-23.82,-29.34,1.0,0.0,182.0,Final_BDD_Polytech_SM-G955F,No
-22.2,-23.76,-29.16,1.0,0.0,183.0,Final_BDD_Polytech_SM-G955F,No
-22.26,-23.76,-28.92,1.0,0.0,184.0,Final_BDD_Polytech_SM-G955F,No
-22.5,-24.18,-29.28,1.0,0.0,185.0,Final_BDD_Polytech_SM-G955F,No
-22.98,-23.82,-29.28,1.0,0.0,186.0,Final_BDD_Polytech_SM-G955F,No
-22.92,-24.36,-28.62,1.0,0.0,187.0,Final_BDD_Polytech_SM-G955F,No
-23.22,-24.42,-28.86,1.0,0.0,188.0,Final_BDD_Polytech_SM-G955F,No
-22.8,-24.18,-28.74,1.0,0.0,189.0,Final_BDD_Polytech_SM-G955F,No
-22.74,-24.48,-28.8,1.0,0.0,190.0,Final_BDD_Polytech_SM-G955F,No
-23.16,-24.12,-29.28,1.0,0.0,191.0,Final_BDD_Polytech_SM-G955F,No
-22.92,-23.82,-28.98,1.0,0.0,192.0,Final_BDD_Polytech_SM-G955F,No
-22.56,-23.34,-29.94,1.0,0.0,195.0,Final_BDD_Polytech_SM-G955F,No
-22.38,-23.46,-30.0,1.0,0.0,196.0,Final_BDD_Polytech_SM-G955F,No
-22.44,-23.94,-29.58,1.0,0.0,197.0,Final_BDD_Polytech_SM-G955F,No
-22.56,-24.42,-29.7,1.0,0.0,198.0,Final_BDD_Polytech_SM-G955F,No
-22.74,-24.48,-29.22,1.0,0.0,199.0,Final_BDD_Polytech_SM-G955F,No
-21.18,-26.58,-28.74,2.0,0.0,202.0,Final_BDD_Polytech_SM-G955F,No
-21.3,-26.52,-28.8,2.0,0.0,206.0,Final_BDD_Polytech_SM-G955F,No
-20.94,-26.58,-28.62,2.0,0.0,207.0,Final_BDD_Polytech_SM-G955F,No
-20.76,-26.28,-28.74,2.0,0.0,209.0,Final_BDD_Polytech_SM-G955F,No
-20.94,-26.28,-28.62,2.0,0.0,210.0,Final_BDD_Polytech_SM-G955F,No
-20.94,-26.46,-28.8,2.0,0.0,211.0,Final_BDD_Polytech_SM-G955F,No
-21.06,-26.52,-29.4,2.0,0.0,218.0,Final_BDD_Polytech_SM-G955F,No
-20.88,-26.4,-29.04,2.0,0.0,219.0,Final_BDD_Polytech_SM-G955F,No
-21.12,-26.46,-28.62,2.0,0.0,220.0,Final_BDD_Polytech_SM-G955F,No
-21.12,-26.28,-29.04,2.0,0.0,221.0,Final_BDD_Polytech_SM-G955F,No
-20.64,-26.4,-28.8,2.0,0.0,222.0,Final_BDD_Polytech_SM-G955F,No
-21.06,-26.16,-29.04,2.0,0.0,223.0,Final_BDD_Polytech_SM-G955F,No
-20.82,-26.22,-29.16,2.0,0.0,224.0,Final_BDD_Polytech_SM-G955F,No
-20.82,-26.58,-29.16,2.0,0.0,225.0,Final_BDD_Polytech_SM-G955F,No
