No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
0,0,0,0,-7.858,-21.011,-34.33,41.009
1,0,0,0,-7.858,-21.011,-34.33,41.009
2,0,0,0,-8.248,-21.896,-33.677,41.007
3,0,0,0,-8.248,-21.896,-33.677,41.007
4,0,0,0,-10.557,-21.305,-35.985,43.131
5,0,0,0,-10.557,-21.305,-35.985,43.131
6,0,0,0,-8.411,-22.025,-35.165,42.337
7,0,0,0,-8.411,-22.025,-35.165,42.337
8,0,0,0,-8.95,-22.905,-35.007,42.782
9,0,0,0,-8.95,-22.905,-35.007,42.782
10,0,0,0,-9.382,-22.186,-34.506,42.082
11,0,0,0,-9.382,-22.186,-34.506,42.082
12,0,0,0,-8.716,-21.439,-35.656,42.508
13,0,0,0,-9.01,-21.862,-36.981,43.895
14,0,0,0,-9.697,-21.451,-35.325,42.451
15,0,0,0,-9.697,-21.451,-35.325,42.451
16,0,0,0,-8.993,-21.158,-34.992,41.869
17,0,0,0,-8.478,-19.546,-35.474,41.38
18,0,0,0,-9.704,-21.16,-35.323,42.304
19,0,0,0,-10.599,-19.845,-36.303,42.709
20,0,0,0,-8.175,-20.99,-36.312,42.732
21,0,0,0,-11.472,-19.404,-37.29,43.574
22,0,0,0,-9.634,-19.536,-37.126,43.044
23,0,0,0,-9.596,-20.278,-35.976,42.397
24,0,0,0,-10.297,-19.857,-35.146,41.66
25,0,0,0,-10.297,-19.857,-35.146,41.66
26,0,0,0,-10.357,-18.814,-37.12,42.885
27,0,0,0,-9.67,-18.08,-37.113,42.401
28,0,0,0,-10.63,-18.822,-36.624,42.528
29,0,0,0,-10.638,-18.816,-37.12,42.955
30,0,0,0,-11.903,-17.684,-35.293,41.231
31,0,0,0,-10.124,-16.918,-37.269,42.162
32,0,0,0,-11.197,-17.965,-35.626,41.441
33,0,0,0,-11.506,-17.234,-36.115,41.638
34,0,0,0,-11.367,-18.091,-37.444,43.111
35,0,0,0,-10.054,-18.969,-36.13,42.027
36,0,0,0,-9.062,-19.394,-36.464,42.283
37,0,0,0,-10.078,-19.382,-38.116,43.932
38,0,0,0,-12.055,-18.537,-37.117,43.205
39,0,0,0,-9.794,-18.666,-36.953,42.543
40,0,0,0,-11.436,-19.715,-35.641,42.305
41,0,0,0,-11.461,-18.696,-35.632,41.839
42,0,0,0,-11.895,-19.407,-37.29,43.689
43,0,0,0,-10.768,-18.253,-35.628,41.454
44,0,0,0,-11.144,-20.149,-35.644,42.434
45,0,0,0,-11.438,-19.427,-35.308,41.891
46,0,0,0,-11.49,-18.676,-37.284,43.254
