No,x,y,avg_M_x,avg_M_y,avg_M_z,avg_M_tot,z
12.0,0.0,0.0,-8.716,-21.439,-35.656,42.508,0
14.0,0.0,0.0,-9.697,-21.451,-35.325,42.451,0
15.0,0.0,0.0,-9.697,-21.451,-35.325,42.451,0
16.0,0.0,0.0,-8.993,-21.158,-34.992,41.869,0
18.0,0.0,0.0,-9.704,-21.16,-35.323,42.304,0
19.0,0.0,0.0,-10.599,-19.845,-36.303,42.709,0
22.0,0.0,0.0,-9.634,-19.536,-37.126,43.044,0
23.0,0.0,0.0,-9.596,-20.278,-35.976,42.397,0
27.0,0.0,0.0,-10.357,-18.814,-37.12,42.885,0
29.0,0.0,0.0,-10.63,-18.822,-36.624,42.528,0
30.0,0.0,0.0,-10.638,-18.816,-37.12,42.955,0
36.0,0.0,0.0,-10.054,-18.969,-36.13,42.027,0
37.0,0.0,0.0,-9.062,-19.394,-36.464,42.283,0
40.0,0.0,0.0,-9.794,-18.666,-36.953,42.543,0
41.0,0.0,0.0,-11.436,-19.715,-35.641,42.305,0
42.0,0.0,0.0,-11.461,-18.696,-35.632,41.839,0
43.0,0.0,0.0,-11.895,-19.407,-37.29,43.689,0
44.0,0.0,0.0,-10.768,-18.253,-35.628,41.454,0
45.0,0.0,0.0,-11.144,-20.149,-35.644,42.434,0
46.0,0.0,0.0,-11.438,-19.427,-35.308,41.891,0
47.0,0.0,0.0,-11.49,-18.676,-37.284,43.254,0
48.0,0.0,0.0,-12.037,-19.265,-37.124,43.522,0
49.0,0.0,0.0,-10.306,-20.28,-36.306,42.844,0
52.0,0.0,0.0,-11.599,-19.271,-36.298,42.702,0
54.0,0.0,0.0,-11.847,-19.726,-34.98,41.87,0
55.0,0.0,0.0,-10.574,-20.292,-35.48,42.219,0
57.0,0.0,0.0,-10.016,-20.139,-35.644,42.148,0
58.0,0.0,0.0,-12.028,-19.271,-36.628,43.101,0
60.0,0.0,0.0,-11.289,-19.861,-35.477,42.196,0
61.0,0.0,0.0,-9.589,-20.569,-35.978,42.538,0
62.0,0.0,0.0,-11.841,-20.446,-35.647,42.766,0
63.0,0.0,0.0,-9.067,-18.961,-36.13,41.798,0
66.0,0.0,0.0,-11.016,-19.28,-35.141,41.569,0
67.0,0.0,0.0,-11.026,-18.844,-35.138,41.368,0
68.0,0.0,0.0,-10.305,-20.567,-36.639,43.262,0
69.0,0.0,0.0,-10.57,-19.865,-34.651,41.316,0
70.0,0.0,0.0,-11.587,-19.566,-35.97,42.555,0
71.0,0.0,0.0,-11.614,-19.261,-37.124,43.406,0
73.0,0.0,0.0,-10.594,-20.278,-36.637,43.194,0
75.0,0.0,0.0,-10.013,-20.857,-36.477,43.195,0
76.0,0.0,0.0,-9.717,-20.865,-35.651,42.435,0
77.0,0.0,0.0,-11.145,-20.434,-36.143,42.989,0
78.0,0.0,0.0,-11.44,-20.141,-36.47,43.205,0
79.0,0.0,0.0,-9.909,-19.257,-36.298,42.267,0
80.0,0.0,0.0,-10.468,-20.123,-37.296,43.653,0
87.0,0.0,0.0,-10.606,-19.554,-36.3,42.574,0
89.0,0.0,0.0,-11.585,-19.281,-35.472,42.003,0
90.0,0.0,0.0,-10.625,-18.539,-35.961,41.83,0
91.0,0.0,0.0,-10.628,-19.253,-37.124,43.148,0
93.0,0.0,0.0,-9.767,-19.4,-36.464,42.442,0
108.0,1.0,0.0,-8.353,-20.393,-37.629,43.607,0
114.0,1.0,0.0,-8.928,-19.817,-37.459,43.308,0
116.0,1.0,0.0,-9.641,-19.245,-37.124,42.912,0
117.0,1.0,0.0,-8.795,-19.382,-37.29,42.936,0
118.0,1.0,0.0,-8.091,-19.376,-37.29,42.795,0
120.0,1.0,0.0,-8.384,-18.654,-36.953,42.235,0
121.0,1.0,0.0,-7.987,-18.777,-38.606,43.667,0
126.0,1.0,0.0,-8.107,-20.08,-39.278,44.852,0
127.0,1.0,0.0,-8.251,-19.507,-38.613,44.04,0
128.0,1.0,0.0,-8.372,-19.378,-37.29,42.85,0
129.0,1.0,0.0,-8.797,-20.096,-38.453,44.27,0
130.0,1.0,0.0,-8.943,-19.808,-38.285,44.023,0
131.0,1.0,0.0,-8.773,-19.682,-36.466,42.358,0
132.0,1.0,0.0,-8.503,-20.245,-37.958,43.852,0
133.0,1.0,0.0,-7.679,-20.08,-38.948,44.487,0
134.0,1.0,0.0,-9.666,-18.798,-37.946,43.436,0
135.0,1.0,0.0,-8.148,-18.192,-38.932,43.738,0
136.0,1.0,0.0,-8.926,-20.248,-37.958,43.937,0
137.0,1.0,0.0,-7.411,-18.923,-38.112,43.192,0
138.0,1.0,0.0,-9.199,-20.256,-37.463,43.571,0
141.0,1.0,0.0,-7.686,-18.644,-37.283,42.388,0
142.0,1.0,0.0,-8.385,-19.655,-38.449,43.988,0
143.0,1.0,0.0,-9.943,-19.234,-38.28,43.979,0
144.0,1.0,0.0,-9.073,-20.102,-38.122,44.042,0
145.0,1.0,0.0,-7.962,-19.795,-38.615,44.118,0
146.0,1.0,0.0,-8.953,-18.798,-37.45,42.849,0
147.0,1.0,0.0,-9.52,-19.374,-38.446,44.092,0
148.0,1.0,0.0,-8.807,-18.658,-36.953,42.323,0
149.0,1.0,0.0,-9.669,-19.512,-39.108,44.763,0
150.0,1.0,0.0,-7.553,-18.781,-37.945,43.007,0
151.0,1.0,0.0,-8.777,-20.109,-37.296,43.272,0
152.0,1.0,0.0,-9.083,-19.38,-37.62,43.282,0
153.0,1.0,0.0,-9.532,-18.65,-38.11,43.486,0
154.0,1.0,0.0,-8.797,-20.096,-38.453,44.27,0
156.0,1.0,0.0,-9.079,-20.098,-38.453,44.328,0
159.0,1.0,0.0,-9.219,-20.243,-38.619,44.567,0
160.0,1.0,0.0,-8.565,-18.771,-39.432,44.504,0
161.0,1.0,0.0,-8.52,-19.232,-37.454,42.956,0
162.0,1.0,0.0,-10.089,-18.946,-38.112,43.741,0
163.0,1.0,0.0,-8.563,-18.057,-38.27,43.174,0
164.0,1.0,0.0,-8.183,-17.596,-40.083,44.533,0
167.0,1.0,0.0,-8.337,-16.586,-39.413,43.566,0
182.0,1.0,0.0,-8.869,-17.184,-38.427,43.019,0
183.0,1.0,0.0,-9.004,-17.333,-38.263,42.96,0
184.0,1.0,0.0,-8.18,-16.881,-38.92,43.205,0
185.0,1.0,0.0,-8.398,-18.931,-38.112,43.376,0
187.0,1.0,0.0,-8.968,-18.789,-38.276,43.572,0
188.0,1.0,0.0,-8.468,-16.88,-39.251,43.558,0
192.0,1.0,0.0,-9.267,-18.063,-38.27,43.321,0
194.0,1.0,0.0,-8.416,-18.204,-38.106,43.061,0
204.0,2.0,0.0,-6.813,-17.127,-41.731,45.621,0
215.0,2.0,0.0,-7.507,-17.57,-41.735,45.901,0
216.0,2.0,0.0,-6.805,-17.133,-41.235,45.169,0
217.0,2.0,0.0,-7.789,-17.572,-41.735,45.948,0
218.0,2.0,0.0,-8.061,-17.295,-40.741,44.988,0
220.0,2.0,0.0,-8.33,-18.022,-41.078,45.624,0
221.0,2.0,0.0,-7.468,-18.599,-40.918,45.562,0
225.0,2.0,0.0,-8.33,-18.022,-41.078,45.624,0
